,zeros,ones,nonbinaries
0,142,158,0
1,161,139,0
2,154,146,0
3,146,154,0
4,139,161,0
5,150,150,0
6,148,152,0
7,139,161,0
8,148,152,0
9,150,150,0
10,149,151,0
11,164,136,0
12,143,157,0
13,146,154,0
14,157,143,0
15,154,146,0
16,150,150,0
17,148,152,0
18,131,169,0
19,156,143,1
20,137,163,0
21,144,155,1
22,152,148,0
23,149,150,1
24,143,157,0
25,154,146,0
26,165,135,0
27,163,137,0
28,142,158,0
29,149,151,0
30,166,134,0
31,141,158,1
32,164,136,0
33,158,142,0
34,153,147,0
35,150,150,0
36,140,160,0
37,151,149,0
38,146,154,0
39,148,152,0
40,152,148,0
41,144,156,0
42,140,160,0
43,136,164,0
44,154,146,0
45,150,150,0
46,153,147,0
47,154,145,1
48,139,161,0
49,158,142,0
50,148,152,0
51,145,155,0
52,152,147,1
53,144,156,0
54,155,145,0
55,148,152,0
56,155,145,0
57,156,144,0
58,158,142,0
59,147,152,1
60,150,148,2
61,148,150,2
62,149,148,3
63,140,160,0
64,159,141,0
65,135,165,0
66,145,155,0
67,149,151,0
68,142,158,0
69,161,139,0
70,144,156,0
71,144,155,1
72,162,138,0
73,138,162,0
74,147,153,0
75,146,154,0
76,154,146,0
77,161,139,0
78,143,157,0
79,151,149,0
80,142,158,0
81,159,141,0
82,130,170,0
83,156,144,0
84,154,146,0
85,152,148,0
86,151,149,0
87,170,130,0
88,154,146,0
89,147,153,0
90,163,137,0
91,149,151,0
92,145,155,0
93,156,144,0
94,134,164,2
95,164,136,0
96,151,148,1
97,139,161,0
98,158,141,1
99,150,150,0
100,147,153,0
101,159,139,2
102,159,141,0
103,134,166,0
104,142,156,2
105,143,156,1
106,146,153,1
107,148,151,1
108,138,162,0
109,157,141,2
110,143,154,3
111,157,143,0
112,161,137,2
113,138,159,3
114,153,147,0
115,128,172,0
116,144,156,0
117,156,144,0
118,125,175,0
119,128,172,0
120,150,147,3
121,159,140,1
122,153,146,1
123,159,141,0
124,157,143,0
125,153,146,1
126,154,146,0
127,125,173,2
128,147,148,5
129,144,154,2
130,151,149,0
131,154,144,2
132,127,172,1
133,157,142,1
134,135,163,2
135,144,156,0
136,163,135,2
137,151,149,0
138,146,152,2
139,144,153,3
140,166,133,1
141,136,162,2
142,152,147,1
143,150,150,0
144,145,155,0
145,157,141,2
146,136,164,0
147,154,146,0
148,149,150,1
149,160,139,1
150,156,144,0
151,161,139,0
152,155,143,2
153,129,168,3
154,156,144,0
155,142,157,1
156,137,163,0
157,133,167,0
158,148,152,0
159,142,158,0
160,143,157,0
161,155,145,0
162,162,137,1
163,152,147,1
164,151,149,0
165,138,162,0
166,146,153,1
167,166,134,0
168,148,152,0
169,143,157,0
170,154,145,1
171,163,137,0
172,149,151,0
173,148,152,0
174,150,149,1
175,145,155,0
176,147,153,0
177,156,143,1
178,153,146,1
179,156,144,0
180,155,144,1
181,158,142,0
182,142,155,3
183,148,152,0
184,160,140,0
185,142,158,0
186,146,153,1
187,147,152,1
188,143,157,0
189,140,159,1
190,160,140,0
191,135,164,1
192,151,149,0
193,138,162,0
194,139,161,0
195,152,147,1
196,150,149,1
197,160,140,0
198,154,145,1
199,142,158,0
200,144,156,0
201,158,142,0
202,146,154,0
203,151,149,0
204,145,154,1
205,150,149,1
206,168,132,0
207,156,143,1
208,169,131,0
209,149,151,0
210,153,147,0
211,135,165,0
212,148,152,0
213,151,149,0
214,166,134,0
215,147,153,0
216,148,152,0
217,163,137,0
218,154,146,0
219,150,150,0
220,133,167,0
221,146,154,0
222,145,155,0
223,168,132,0
224,158,141,1
225,139,160,1
226,145,155,0
227,146,153,1
228,147,153,0
229,158,142,0
230,156,144,0
231,150,150,0
232,156,142,2
233,147,148,5
234,145,155,0
235,140,158,2
236,165,135,0
237,144,154,2
238,156,143,1
239,145,155,0
240,148,152,0
241,148,151,1
242,153,147,0
243,167,133,0
244,165,135,0
245,145,153,2
246,138,162,0
247,161,139,0
248,131,169,0
249,140,159,1
250,150,150,0
251,158,141,1
252,155,145,0
253,139,160,1
254,155,145,0
255,145,154,1
256,150,149,1
257,158,142,0
258,153,147,0
259,147,153,0
260,144,156,0
261,147,151,2
262,139,160,1
263,143,156,1
264,143,155,2
265,157,143,0
266,146,154,0
267,150,149,1
268,150,149,1
269,146,153,1
270,155,145,0
271,145,153,2
272,146,153,1
273,148,151,1
274,151,149,0
275,150,150,0
276,135,165,0
277,136,164,0
278,137,162,1
279,150,148,2
280,143,157,0
281,169,131,0
282,159,140,1
283,162,138,0
284,155,144,1
285,153,146,1
286,149,150,1
287,166,133,1
288,149,150,1
289,129,170,1
290,160,139,1
291,148,152,0
292,132,166,2
293,135,163,2
294,163,135,2
295,146,154,0
296,148,152,0
297,144,154,2
298,149,151,0
299,163,137,0
300,151,148,1
301,148,152,0
302,154,145,1
303,147,153,0
304,149,151,0
305,151,149,0
306,146,154,0
307,154,146,0
308,145,155,0
309,154,144,2
310,139,161,0
311,151,149,0
312,145,153,2
313,160,138,2
314,162,135,3
315,153,147,0
316,137,163,0
317,150,149,1
318,141,159,0
319,149,151,0
320,151,148,1
321,159,141,0
322,155,145,0
323,147,152,1
324,147,153,0
325,132,167,1
326,159,141,0
327,165,135,0
328,154,145,1
329,154,146,0
330,146,153,1
331,150,147,3
332,155,144,1
333,152,146,2
334,157,143,0
335,145,154,1
336,159,139,2
337,132,168,0
338,155,145,0
339,158,141,1
340,147,153,0
341,158,139,3
342,141,157,2
343,136,163,1
344,148,149,3
345,139,161,0
346,138,161,1
347,156,143,1
348,144,156,0
349,137,162,1
350,147,149,4
351,146,151,3
352,154,146,0
353,147,152,1
354,158,137,5
355,144,154,2
356,138,162,0
357,150,149,1
358,156,140,4
359,146,153,1
360,144,153,3
361,153,146,1
362,160,138,2
363,137,163,0
364,155,145,0
365,155,144,1
366,154,146,0
367,145,153,2
368,174,126,0
369,151,149,0
370,149,148,3
371,159,139,2
372,133,167,0
373,141,158,1
374,150,149,1
375,149,151,0
376,149,151,0
377,158,140,2
378,132,167,1
379,139,156,5
380,159,140,1
381,150,150,0
382,149,150,1
383,152,147,1
384,153,147,0
385,162,137,1
386,150,148,2
387,151,146,3
388,155,144,1
389,159,141,0
390,144,155,1
391,141,159,0
392,152,148,0
393,151,146,3
394,146,153,1
395,127,172,1
396,152,148,0
397,158,142,0
398,145,155,0
399,148,152,0
400,145,155,0
401,156,144,0
402,151,147,2
403,153,146,1
404,141,159,0
405,134,165,1
406,144,155,1
407,151,147,2
408,155,144,1
409,158,142,0
410,154,146,0
411,150,149,1
412,147,152,1
413,138,161,1
414,155,144,1
415,142,158,0
416,145,154,1
417,157,142,1
418,147,152,1
419,152,147,1
420,152,148,0
421,135,165,0
422,142,156,2
423,154,144,2
424,162,138,0
425,151,147,2
426,148,151,1
427,150,149,1
428,165,135,0
429,152,147,1
430,158,140,2
431,159,141,0
432,161,138,1
433,155,144,1
434,153,146,1
435,145,154,1
436,146,154,0
437,129,171,0
438,150,148,2
439,157,142,1
440,135,164,1
441,147,152,1
442,139,159,2
443,144,154,2
444,141,158,1
445,165,134,1
446,141,157,2
447,134,165,1
448,153,145,2
449,168,130,2
450,150,148,2
451,160,140,0
452,137,160,3
453,145,154,1
454,147,151,2
455,159,141,0
456,152,148,0
457,146,151,3
458,150,150,0
459,144,154,2
460,135,163,2
461,142,156,2
462,152,144,4
463,139,153,8
464,138,152,10
465,143,139,18
466,148,127,25
467,129,141,30
468,123,128,49
469,117,131,52
470,120,113,67
471,116,119,65
472,135,111,54
473,111,99,90
474,94,92,114
475,77,76,147
476,76,76,148
477,82,81,137
478,79,75,146
479,56,58,186
480,39,45,216
481,24,20,256
482,12,13,275
483,6,12,282
484,5,3,292
485,3,1,296
486,2,0,298
487,2,0,298
488,0,0,300
489,0,1,299
490,0,2,298
491,2,1,297
492,0,0,300
493,1,1,298
494,1,0,299
495,1,1,298
496,1,0,299
497,1,0,299
498,0,1,299
499,1,1,298
500,1,0,299
501,1,0,299
502,1,1,298
503,0,3,297
504,0,0,300
505,0,1,299
506,1,0,299
507,1,0,299
508,2,1,297
509,0,1,299
510,0,1,299
511,2,0,298
512,0,1,299
513,1,0,299
514,0,0,300
515,0,0,300
516,0,0,300
517,0,0,300
518,0,1,299
519,0,1,299
520,0,0,300
521,1,0,299
522,0,2,298
523,0,1,299
524,0,1,299
525,0,0,300
526,0,0,300
527,0,0,300
528,0,0,300
529,1,1,298
530,0,0,300
531,0,0,300
532,1,0,299
533,0,0,300
534,0,0,300
535,1,2,297
536,1,0,299
537,1,0,299
538,1,3,296
539,1,0,299
540,1,0,299
541,0,0,300
542,2,2,296
543,2,1,297
544,1,0,299
545,1,2,297
546,1,0,299
547,0,0,300
548,1,0,299
549,1,0,299
550,0,2,298
551,0,3,297
552,0,1,299
553,0,0,300
554,0,1,299
555,0,1,299
556,0,1,299
557,2,1,297
558,0,1,299
559,0,0,300
560,0,0,300
561,1,0,299
562,0,1,299
563,0,1,299
564,0,1,299
565,1,0,299
566,1,0,299
567,1,0,299
568,1,0,299
569,0,0,300
570,0,0,300
571,2,0,298
572,3,0,297
573,0,0,300
574,0,0,300
575,2,0,298
576,0,0,300
577,2,0,298
578,0,1,299
579,0,1,299
580,0,0,300
581,0,0,300
582,0,0,300
583,1,1,298
584,0,0,300
585,0,0,300
586,0,1,299
587,0,0,300
588,1,0,299
589,1,0,299
590,0,1,299
591,0,0,300
592,1,0,299
593,0,1,299
594,0,0,300
595,2,0,298
596,0,0,300
597,0,1,299
598,0,0,300
599,1,1,298
600,0,1,299
601,2,0,298
602,1,0,299
603,0,0,300
604,0,1,299
605,0,0,300
606,0,0,300
607,1,2,297
608,1,0,299
609,2,0,298
610,0,0,300
611,1,0,299
612,1,1,298
613,0,0,300
614,1,0,299
615,1,2,297
616,1,0,299
617,0,0,300
618,0,1,299
619,0,0,300
620,0,0,300
621,0,0,300
622,0,1,299
623,0,0,300
624,0,0,300
625,0,1,299
626,0,0,300
627,2,1,297
628,1,1,298
629,1,1,298
630,0,2,298
631,0,1,299
632,0,1,299
633,0,0,300
634,0,0,300
635,0,0,300
636,0,0,300
637,1,0,299
638,1,1,298
639,0,0,300
640,2,0,298
641,0,1,299
642,0,0,300
643,0,1,299
644,0,1,299
645,0,1,299
646,2,0,298
647,0,1,299
648,1,2,297
649,0,0,300
650,0,1,299
651,0,0,300
652,0,1,299
653,1,0,299
654,0,1,299
655,0,1,299
656,1,2,297
657,0,0,300
658,1,0,299
659,0,1,299
660,0,1,299
661,0,0,300
662,0,0,300
663,1,1,298
664,0,0,300
665,0,2,298
666,1,0,299
667,0,0,300
668,0,0,300
669,0,0,300
670,2,1,297
671,0,1,299
672,1,0,299
673,0,0,300
674,0,0,300
675,1,2,297
676,0,1,299
677,3,2,295
678,0,1,299
679,0,0,300
680,0,0,300
681,0,0,300
682,2,1,297
683,0,1,299
684,1,1,298
685,1,0,299
686,0,1,299
687,0,0,300
688,0,1,299
689,0,1,299
690,0,0,300
691,0,2,298
692,0,0,300
693,0,0,300
694,1,0,299
695,1,0,299
696,0,0,300
697,0,0,300
698,0,0,300
699,0,1,299
700,0,2,298
701,1,1,298
702,0,0,300
703,0,1,299
704,0,1,299
705,1,2,297
706,0,0,300
707,3,1,296
708,0,2,298
709,1,2,297
710,2,0,298
711,1,2,297
712,0,0,300
713,1,0,299
714,0,1,299
715,1,0,299
716,0,3,297
717,0,0,300
718,1,2,297
719,0,1,299
720,1,1,298
721,0,0,300
722,0,0,300
723,0,1,299
724,0,1,299
725,0,0,300
726,0,0,300
727,0,0,300
728,0,0,300
729,0,1,299
730,0,1,299
731,0,0,300
732,0,1,299
733,0,0,300
734,2,0,298
735,0,1,299
736,0,1,299
737,0,0,300
738,1,0,299
739,0,0,300
740,0,2,298
741,1,0,299
742,1,0,299
743,0,1,299
744,1,0,299
745,0,0,300
746,0,0,300
747,0,0,300
748,0,0,300
749,1,1,298
750,0,0,300
751,0,1,299
752,0,0,300
753,0,1,299
754,1,0,299
755,1,0,299
756,0,0,300
757,0,0,300
758,0,0,300
759,1,0,299
760,1,0,299
761,0,0,300
762,0,0,300
763,2,0,298
764,0,1,299
765,1,0,299
766,0,0,300
767,0,1,299
768,0,0,300
769,0,0,300
770,2,1,297
771,0,1,299
772,0,0,300
773,2,0,298
774,1,1,298
775,0,3,297
776,0,1,299
777,1,2,297
778,0,0,300
779,1,0,299
780,0,0,300
781,0,0,300
782,0,0,300
783,1,1,298
784,1,0,299
785,0,1,299
786,0,1,299
787,0,0,300
788,0,1,299
789,0,0,300
790,1,0,299
791,0,0,300
792,0,0,300
793,0,1,299
794,1,0,299
795,2,0,298
796,0,1,299
797,0,0,300
798,0,0,300
799,1,2,297
800,0,1,299
801,0,0,300
802,0,0,300
803,0,1,299
804,0,1,299
805,1,0,299
806,0,0,300
807,0,0,300
808,1,0,299
809,1,0,299
810,0,2,298
811,1,1,298
812,2,0,298
813,1,1,298
814,0,0,300
815,1,1,298
816,1,1,298
817,0,0,300
818,1,0,299
819,0,0,300
820,0,0,300
821,0,1,299
822,0,1,299
823,2,0,298
824,1,1,298
825,0,0,300
826,0,0,300
827,1,1,298
828,0,0,300
829,1,1,298
830,1,0,299
831,0,0,300
832,0,1,299
833,1,0,299
834,0,0,300
835,0,0,300
836,1,1,298
